MAIN: rcv event, t=17.261, at 0 src: 3, dest: 0, contents:   4 999   3   0
MAIN: rcv event, t=17.552, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=18.034, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=18.345, at 2 src: 1, dest: 2, contents:   1   0   1 999
MAIN: rcv event, t=18.527, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=18.628, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=18.845, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=19.019, at 0 src: 3, dest: 0, contents:   4 999   3   0
MAIN: rcv event, t=19.035, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=19.093, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=19.541, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=20.052, at 1 src: 0, dest: 1, contents:   4   1   3   7
MAIN: rcv event, t=20.226, at 0 src: 1, dest: 0, contents:   1   0   1 999
MAIN: rcv event, t=20.283, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=20.704, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=21.033, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=21.189, at 2 src: 0, dest: 2, contents:   4   1   3   7
MAIN: rcv event, t=21.252, at 0 src: 3, dest: 0, contents:   4 999   3   0
MAIN: rcv event, t=21.451, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=21.674, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=21.791, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=22.540, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=22.706, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=23.057, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=23.173, at 0 src: 1, dest: 0, contents:   2   0   1 999
MAIN: rcv event, t=23.786, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=23.916, at 3 src: 0, dest: 3, contents:   4   1   3   7
MAIN: rcv event, t=24.286, at 0 src: 3, dest: 0, contents:   4 999   3   0
MAIN: rcv event, t=24.580, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=24.943, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=25.334, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=25.394, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=25.456, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=25.510, at 0 src: 1, dest: 0, contents:   2   0   1 999
MAIN: rcv event, t=25.785, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=25.938, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=26.070, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=26.092, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=26.551, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=26.564, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=26.759, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=26.853, at 1 src: 0, dest: 1, contents:   4   1   3   7
MAIN: rcv event, t=26.892, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=27.056, at 0 src: 3, dest: 0, contents:   4 999   3   0
MAIN: rcv event, t=27.091, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=27.124, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=27.147, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=27.233, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=27.482, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=27.771, at 3 src: 0, dest: 3, contents:   4   1   3   7
MAIN: rcv event, t=28.558, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=28.634, at 0 src: 1, dest: 0, contents:   2   0   1 999
MAIN: rcv event, t=29.083, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=29.267, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=29.381, at 2 src: 1, dest: 2, contents:   2   0   1 999
